,saleamt,saleTransDate,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,lot.lotSize1,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.N4,location.geoIdV4.SB,location.geoIdV4.ZI,summary.propclass,summary.propsubtype,summary.proptype,summary.yearbuilt,summary.propLandUse,summary.propIndicator,building.size.universalsize,building.rooms.bathstotal,building.rooms.beds,vintage.lastModified,vintage.pubDate,identifier.apnOrig,location.geoIdV4.PL
10,237000.0,2019-05-22,44902,34029,07  01192-  27-00065,44902,0.1147842,US,NJ,15 KEATS RD,"BRICK, NJ 08724",BRICK,ExaStr,"15 KEATS RD, BRICK, NJ 08724",08724,8115,C074,Rooftop,40.084546,-74.133490,0.0,"CO34029, CS3407420, DB3402220, RS0000268499, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,eedd93b3ac80e116e48b209a6a0a64d2,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1974.0,SFR,10,1004,1.0,2.0,2019-07-03,2019-07-03,,
11,200000.0,2006-05-16,44909,34029,07  01427-  03-00006,44909,0.21809,US,NJ,930 CHELSEA DR,"BRICK, NJ 08724",BRICK,ExaStr,"930 CHELSEA DR, BRICK, NJ 08724",08724,1073,C080,Rooftop,40.112252,-74.129154,0.0,"CO34029, CS3407420, DB3402220, RS0000315836, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,86f977bad0bca0e8db1af782a98e75e2,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1992.0,SFR,10,2240,3.0,4.0,2022-10-05,2022-10-05,,
12,225000.0,2019-10-04,51338,34029,07  01273-0000-00009,51338,0.2755051,US,NJ,810 PONTIAC AVE,"BRICK, NJ 08724",BRICK,ExaStr,"810 PONTIAC AVE, BRICK, NJ 08724",08724,2106,C066,Rooftop,40.093410,-74.108193,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1949.0,SFR,10,880,1.0,1.0,2022-10-05,2022-10-05,,
13,124000.0,2012-10-05,51370,34029,07  01192-  08-00040,51370,0.1263085,US,NJ,69 CENTRAL BLVD,"BRICK, NJ 08724",BRICK,ExaStr,"69 CENTRAL BLVD, BRICK, NJ 08724",08724,2451,C074,Rooftop,40.086147,-74.139412,0.0,"CO34029, CS3407420, DB3402220, RS0000268499, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,eedd93b3ac80e116e48b209a6a0a64d2,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1974.0,SFR,10,1370,2.0,2.0,2018-05-09,2018-05-09,,
14,93000.0,,60839,34029,07  01385-  01-00004,60839,0.5991965,US,NJ,9 JAYWOOD MANOR DR,"BRICK, NJ 08724",BRICK,ExaStr,"9 JAYWOOD MANOR DR, BRICK, NJ 08724",08724,1125,C035,Rooftop,40.117758,-74.100453,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1970.0,SFR,10,3266,4.0,3.0,2020-01-30,2020-01-30,,
15,,,65589,34029,07  01170-  01-00002,65589,0.3787879,US,NJ,1666 ROUTE 88,"BRICK, NJ 08724",BRICK,ExaStr,"1666 ROUTE 88, BRICK, NJ 08724",08724,3070,C027,Rooftop,40.074624,-74.134070,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Commercial,Commercial,COMMERCIAL (NEC),,COMMERCIAL (NEC),20,2580,,,,,,
16,,2019-05-08,69252,34029,07  01429-  02-00002-0000-C0438,69252,0.1278926,US,NJ,438 LONNA CT,"BRICK, NJ 08724",BRICK,ExaStr,"438 LONNA CT, BRICK, NJ 08724",08724,7155,C073,Rooftop,40.103339,-74.140180,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1979.0,CONDOMINIUM,11,1200,2.0,2.0,2022-04-26,2022-04-26,,
17,112000.0,2017-05-11,69262,34029,07  01427-0000-00005-0000-C0022,69262,0.1424013,US,NJ,22 BRIAR MILLS DR,"BRICK, NJ 08724",BRICK,ExaStr,"22 BRIAR MILLS DR, BRICK, NJ 08724",08724,1436,C080,Rooftop,40.106078,-74.132014,0.0,"CO34029, CS3407420, DB3402220, RS0000305954, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,b34509458f4b6e207e3e7e123db964eb,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1974.0,CONDOMINIUM,11,1330,2.0,3.0,2017-11-08,2017-11-08,,
18,675000.0,2019-06-14,71043,34029,07  00934-0000-00023-  01,71043,0.2755051,US,NJ,633 POINT AVE,"BRICK, NJ 08724",BRICK,ExaStr,"633 POINT AVE, BRICK, NJ 08724",08724,4855,C008,Rooftop,40.056253,-74.079189,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,Vacant,VACANT LAND,VACANT LAND (NEC),,VACANT LAND (NEC),80,1400,,,2019-08-07,2019-08-07,,
19,272000.0,2019-01-11,71350,34029,07  01335-  12-00019,71350,0.1147842,US,NJ,175 18TH AVE,"BRICK, NJ 08724",BRICK,ExaStr,"175 18TH AVE, BRICK, NJ 08724",08724,1853,C068,Rooftop,40.097955,-74.092981,0.0,"CO34029, CS3407420, DB3402220, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1974.0,SFR,10,1100,2.0,3.0,2022-10-05,2022-10-05,,
